Sample in Buffer,Sample in Window,TRIGGER,Proyecto_1_sep_i/RAM_test_0_seno[7:0],Proyecto_1_sep_i/comp_cuadrada_0_cuadrada[7:0],Proyecto_1_sep_i/Triangular_0_triangulada[7:0],Proyecto_1_sep_i/Dientes_de_sierra_0_sierra[7:0],Proyecto_1_sep_i/Sel_funcion_0_funcion_a[7:0],Proyecto_1_sep_i/Sel_funcion_0_funcion_b[7:0],Proyecto_1_sep_i/Math_0_f_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00,00,00,00,00,00,0000
1,1,0,00,00,00,00,00,00,0000
2,2,0,00,00,00,00,00,00,0000
3,3,0,00,00,00,00,00,00,0000
4,4,0,00,00,00,00,00,00,0000
5,5,0,00,00,00,00,00,00,0000
6,6,0,00,00,00,00,00,00,0000
7,7,0,00,00,00,00,00,00,0000
8,8,0,00,00,00,00,00,00,0000
9,9,0,00,00,00,00,00,00,0000
10,10,0,00,00,00,00,00,00,0000
11,11,0,00,00,00,00,00,00,0000
12,12,0,00,00,00,00,00,00,0000
13,13,0,00,00,00,00,00,00,0000
14,14,0,00,00,00,00,00,00,0000
15,15,0,00,00,00,00,00,00,0000
16,16,0,00,00,00,00,00,00,0000
17,17,0,00,00,00,00,00,00,0000
18,18,0,00,00,00,00,00,00,0000
19,19,0,00,00,00,00,00,00,0000
20,20,0,00,00,00,00,00,00,0000
21,21,0,00,00,00,00,00,00,0000
22,22,0,00,00,00,00,00,00,0000
23,23,0,00,00,00,00,00,00,0000
24,24,0,00,00,00,00,00,00,0000
25,25,0,00,00,00,00,00,00,0000
26,26,0,00,00,00,00,00,00,0000
27,27,0,00,00,00,00,00,00,0000
28,28,0,00,00,00,00,00,00,0000
29,29,0,00,00,00,00,00,00,0000
30,30,0,00,00,00,00,00,00,0000
31,31,0,00,00,00,00,00,00,0000
32,32,0,00,00,00,00,00,00,0000
33,33,0,00,00,00,00,00,00,0000
34,34,0,00,00,00,00,00,00,0000
35,35,0,00,00,00,00,00,00,0000
36,36,0,00,00,00,00,00,00,0000
37,37,0,00,00,00,00,00,00,0000
38,38,0,00,00,00,00,00,00,0000
39,39,0,00,00,00,00,00,00,0000
40,40,0,00,00,00,00,00,00,0000
41,41,0,00,00,00,00,00,00,0000
42,42,0,00,00,00,00,00,00,0000
43,43,0,00,00,00,00,00,00,0000
44,44,0,00,00,00,00,00,00,0000
45,45,0,00,00,00,00,00,00,0000
46,46,0,00,00,00,00,00,00,0000
47,47,0,00,00,00,00,00,00,0000
48,48,0,00,00,00,00,00,00,0000
49,49,0,00,00,00,00,00,00,0000
50,50,0,00,00,00,00,00,00,0000
51,51,0,00,00,00,00,00,00,0000
52,52,0,00,00,00,00,00,00,0000
53,53,0,00,00,00,00,00,00,0000
54,54,0,00,00,00,00,00,00,0000
55,55,0,00,00,00,00,00,00,0000
56,56,0,00,00,00,00,00,00,0000
57,57,0,00,00,00,00,00,00,0000
58,58,0,00,00,00,00,00,00,0000
59,59,0,00,00,00,00,00,00,0000
60,60,0,00,00,00,00,00,00,0000
61,61,0,00,00,00,00,00,00,0000
62,62,0,00,00,00,00,00,00,0000
63,63,0,00,00,00,00,00,00,0000
64,64,0,00,00,00,00,00,00,0000
65,65,0,00,00,00,00,00,00,0000
66,66,0,00,00,00,00,00,00,0000
67,67,0,00,00,00,00,00,00,0000
68,68,0,00,00,00,00,00,00,0000
69,69,0,00,00,00,00,00,00,0000
70,70,0,00,00,00,00,00,00,0000
71,71,0,00,00,00,00,00,00,0000
72,72,0,00,00,00,00,00,00,0000
73,73,0,00,00,00,00,00,00,0000
74,74,0,00,00,00,00,00,00,0000
75,75,0,00,00,00,00,00,00,0000
76,76,0,00,00,00,00,00,00,0000
77,77,0,00,00,00,00,00,00,0000
78,78,0,00,00,00,00,00,00,0000
79,79,0,00,00,00,00,00,00,0000
80,80,0,00,00,00,00,00,00,0000
81,81,0,00,00,00,00,00,00,0000
82,82,0,00,00,00,00,00,00,0000
83,83,0,00,00,00,00,00,00,0000
84,84,0,00,00,00,00,00,00,0000
85,85,0,00,00,00,00,00,00,0000
86,86,0,00,00,00,00,00,00,0000
87,87,0,00,00,00,00,00,00,0000
88,88,0,00,00,00,00,00,00,0000
89,89,0,00,00,00,00,00,00,0000
90,90,0,00,00,00,00,00,00,0000
91,91,0,00,00,00,00,00,00,0000
92,92,0,00,00,00,00,00,00,0000
93,93,0,00,00,00,00,00,00,0000
94,94,0,00,00,00,00,00,00,0000
95,95,0,00,00,00,00,00,00,0000
96,96,0,00,00,00,00,00,00,0000
97,97,0,00,00,00,00,00,00,0000
98,98,0,00,00,00,00,00,00,0000
99,99,0,00,00,00,00,00,00,0000
100,100,0,00,00,00,00,00,00,0000
101,101,0,00,00,00,00,00,00,0000
102,102,0,00,00,00,00,00,00,0000
103,103,0,00,00,00,00,00,00,0000
104,104,0,00,00,00,00,00,00,0000
105,105,0,00,00,00,00,00,00,0000
106,106,0,00,00,00,00,00,00,0000
107,107,0,00,00,00,00,00,00,0000
108,108,0,00,00,00,00,00,00,0000
109,109,0,00,00,00,00,00,00,0000
110,110,0,00,00,00,00,00,00,0000
111,111,0,00,00,00,00,00,00,0000
112,112,0,00,00,00,00,00,00,0000
113,113,0,00,00,00,00,00,00,0000
114,114,0,00,00,00,00,00,00,0000
115,115,0,00,00,00,00,00,00,0000
116,116,0,00,00,00,00,00,00,0000
117,117,0,00,00,00,00,00,00,0000
118,118,0,00,00,00,00,00,00,0000
119,119,0,00,00,00,00,00,00,0000
120,120,0,00,00,00,00,00,00,0000
121,121,0,00,00,00,00,00,00,0000
122,122,0,00,00,00,00,00,00,0000
123,123,0,00,00,00,00,00,00,0000
124,124,0,00,00,00,00,00,00,0000
125,125,0,00,00,00,00,00,00,0000
126,126,0,00,00,00,00,00,00,0000
127,127,0,00,00,00,00,00,00,0000
128,128,0,00,00,00,00,00,00,0000
129,129,0,00,00,00,00,00,00,0000
130,130,0,00,00,00,00,00,00,0000
131,131,0,00,00,00,00,00,00,0000
132,132,0,00,00,00,00,00,00,0000
133,133,0,00,00,00,00,00,00,0000
134,134,0,00,00,00,00,00,00,0000
135,135,0,00,00,00,00,00,00,0000
136,136,0,00,00,00,00,00,00,0000
137,137,0,00,00,00,00,00,00,0000
138,138,0,00,00,00,00,00,00,0000
139,139,0,00,00,00,00,00,00,0000
140,140,0,00,00,00,00,00,00,0000
141,141,0,00,00,00,00,00,00,0000
142,142,0,00,00,00,00,00,00,0000
143,143,0,00,00,00,00,00,00,0000
144,144,0,00,00,00,00,00,00,0000
145,145,0,00,00,00,00,00,00,0000
146,146,0,00,00,00,00,00,00,0000
147,147,0,00,00,00,00,00,00,0000
148,148,0,00,00,00,00,00,00,0000
149,149,0,00,00,00,00,00,00,0000
150,150,0,00,00,00,00,00,00,0000
151,151,0,00,00,00,00,00,00,0000
152,152,0,00,00,00,00,00,00,0000
153,153,0,00,00,00,00,00,00,0000
154,154,0,00,00,00,00,00,00,0000
155,155,0,00,00,00,00,00,00,0000
156,156,0,00,00,00,00,00,00,0000
157,157,0,00,00,00,00,00,00,0000
158,158,0,00,00,00,00,00,00,0000
159,159,0,00,00,00,00,00,00,0000
160,160,0,00,00,00,00,00,00,0000
161,161,0,00,00,00,00,00,00,0000
162,162,0,00,00,00,00,00,00,0000
163,163,0,00,00,00,00,00,00,0000
164,164,0,00,00,00,00,00,00,0000
165,165,0,00,00,00,00,00,00,0000
